,image,cell,tfrc_counts
0,0,0,158
1,0,1,62
2,0,2,90
3,0,4,131
4,0,3,39
5,0,5,62
6,0,6,49
7,0,7,32
8,0,8,44
9,0,9,19
10,1,0,33
11,1,1,35
12,1,2,11
13,1,3,40
14,1,4,19
15,1,5,62
16,1,6,67
17,1,7,75
18,1,8,53
19,1,10,99
20,1,11,17
21,1,9,51
22,1,13,49
23,1,14,56
24,1,12,11
25,1,15,15
26,1,16,25
27,2,1,69
28,2,0,72
29,2,3,27
30,2,2,15
31,2,4,64
32,2,5,29
33,2,6,8
34,2,7,58
35,2,8,28
36,2,10,39
37,2,9,35
38,2,16,17
39,2,11,27
40,2,15,34
41,2,13,24
42,2,14,22
43,2,12,15
44,2,18,69
45,2,17,15
46,2,19,19
47,2,20,14
48,2,21,35
49,2,22,13
50,2,23,15
51,2,24,15
52,2,26,13
53,2,25,18
54,2,27,27
55,2,28,12
56,2,29,14
57,2,30,22
58,3,0,27
59,3,1,50
60,3,2,17
61,3,3,15
62,3,4,52
63,3,5,18
64,3,6,31
65,3,8,30
66,3,7,19
67,3,9,17
68,3,10,48
69,3,11,36
70,3,13,39
71,3,12,10
72,3,14,57
73,3,16,15
74,3,15,11
75,3,17,5
76,3,19,33
77,3,18,7
78,4,0,32
79,4,1,10
80,4,2,25
81,4,4,9
82,4,3,17
83,4,5,33
84,4,6,18
85,4,7,16
86,4,8,18
87,4,9,6
88,4,10,24
89,4,13,16
90,4,12,9
91,4,11,7
92,4,14,7
93,4,15,17
94,4,16,6
95,4,17,12
96,4,18,13
97,4,19,8
98,4,20,28
99,4,21,6
100,4,23,16
101,4,22,11
102,4,26,20
103,4,25,9
104,4,24,4
105,4,27,13
