,image_idx,cell_idx,n_spots,gfp
0,1.0,18.0,3.0,0.5663232767125014
1,1.0,17.0,10.0,0.3598562582193463
2,1.0,15.0,3.0,0.3391280182335629
3,1.0,16.0,6.0,0.274398543670448
4,1.0,14.0,6.0,0.07070922506154508
5,1.0,12.0,37.0,0.3686730406027564
6,1.0,13.0,2.0,0.2799938561164608
7,1.0,11.0,3.0,0.37820012224319066
8,1.0,9.0,9.0,0.34763740614207733
9,1.0,10.0,1.0,0.22664096863501915
10,1.0,8.0,9.0,0.33450270723197834
11,1.0,7.0,15.0,0.446996862493992
12,1.0,6.0,5.0,0.2232785657494716
13,1.0,5.0,5.0,0.603375112966745
14,1.0,4.0,105.0,0.2716118726534647
15,1.0,3.0,11.0,0.16931654477399793
16,1.0,1.0,12.0,0.20320383645667847
17,1.0,2.0,8.0,0.23428441783695156
18,1.0,0.0,3.0,0.4164987367172761
19,2.0,18.0,16.0,0.9037419765913014
20,2.0,17.0,4.0,0.9976531645655342
21,2.0,16.0,1.0,0.07657542326519627
22,2.0,15.0,8.0,0.08313261719705611
23,2.0,14.0,5.0,0.21870911709526664
24,2.0,13.0,11.0,0.4201742014830356
25,2.0,12.0,55.0,0.4714752602848226
26,2.0,11.0,11.0,0.38995983791539696
27,2.0,10.0,7.0,0.4659743327684223
28,2.0,9.0,13.0,0.2664694957508469
29,2.0,8.0,4.0,0.37022461106681465
30,2.0,7.0,9.0,0.3868267677779533
31,2.0,6.0,35.0,0.16053635829712504
32,2.0,5.0,6.0,0.1141179394457906
33,2.0,3.0,15.0,0.7663693185682142
34,2.0,4.0,33.0,0.9188733970657456
35,2.0,2.0,3.0,0.6861869025376071
36,2.0,1.0,7.0,0.3240675005092136
37,2.0,0.0,12.0,0.6258679159144922
38,3.0,13.0,6.0,0.1329917603835445
39,3.0,12.0,9.0,0.3656618771970437
40,3.0,11.0,5.0,0.09838059430889148
41,3.0,9.0,7.0,0.10964228652891547
42,3.0,10.0,2.0,0.4338705874390957
43,3.0,8.0,12.0,0.21925283811194868
44,3.0,7.0,3.0,0.4711422075925754
45,3.0,6.0,58.0,0.5400985891473239
46,3.0,5.0,6.0,0.31702377457297143
47,3.0,4.0,10.0,0.14266957917320613
48,3.0,3.0,123.0,0.9029296972038512
49,3.0,2.0,9.0,0.3345592195577907
50,3.0,1.0,9.0,0.3832359049181603
51,3.0,0.0,48.0,0.09153047747514728
52,4.0,22.0,2.0,0.2517015326868429
53,4.0,21.0,8.0,0.2327868159141729
54,4.0,20.0,5.0,0.5288305954172944
55,4.0,19.0,6.0,0.2687332584486025
56,4.0,18.0,8.0,0.5275202578375157
57,4.0,17.0,9.0,0.2526579786346321
58,4.0,16.0,3.0,0.06366178027494451
59,4.0,15.0,8.0,0.3293189972105197
60,4.0,14.0,1.0,0.6285784010335208
61,4.0,13.0,2.0,0.6381646541038676
62,4.0,12.0,18.0,0.4135683836463641
63,4.0,11.0,19.0,0.19120272210091546
64,4.0,10.0,8.0,0.3409997634681183
65,4.0,9.0,1.0,0.4579255148631438
66,4.0,7.0,138.0,0.1919764352433702
67,4.0,8.0,1.0,0.5461211741239008
68,4.0,6.0,10.0,0.26392146422237645
69,4.0,5.0,9.0,0.5173222920082361
70,4.0,4.0,9.0,0.2502686654501264
71,4.0,3.0,10.0,0.4853570295708898
72,4.0,2.0,2.0,0.3642269180321103
73,4.0,1.0,5.0,0.2783160934628329
74,4.0,0.0,10.0,0.7989820480085733
75,5.0,18.0,11.0,0.2819029550140125
76,5.0,16.0,2.0,0.5378370929325653
77,5.0,15.0,5.0,0.5347449011188535
78,5.0,14.0,10.0,0.3332280000483565
79,5.0,13.0,4.0,0.3072331428583256
80,5.0,12.0,5.0,0.14708674462469284
81,5.0,9.0,26.0,0.7559362112522573
82,5.0,11.0,3.0,0.215255949913608
83,5.0,10.0,4.0,0.5187773122056963
84,5.0,7.0,3.0,0.4058047136543276
85,5.0,8.0,5.0,0.5694056617644235
86,5.0,5.0,15.0,0.4763536590825601
87,5.0,6.0,2.0,0.1910808249630925
88,5.0,3.0,8.0,0.5992960211839006
89,5.0,4.0,12.0,0.7279930199925808
90,5.0,2.0,1.0,0.19395678275782405
91,5.0,1.0,8.0,0.3944859409643865
92,5.0,0.0,7.0,0.3882262700012972
